Time,Coordinates
1496277203.0,"(40.598852, -73.997026)"
1496277203.0,"(40.598852, -73.997026)"
1496277804.0,"(40.616039, -73.979146)"
1496277804.0,"(40.616039, -73.979146)"
1496278399.0,"(40.628445, -73.95203)"
1496278399.0,"(40.628445, -73.95203)"
1496279022.0,"(40.632831, -73.928627)"
1496279022.0,"(40.632831, -73.928627)"
1496279610.0,"(40.639176, -73.907605)"
1496279610.0,"(40.639176, -73.907605)"
1496280189.0,"(40.655848, -73.883362)"
1496280189.0,"(40.655848, -73.883362)"
1496280802.0,"(40.661339, -73.87981)"
1496281433.0,"(40.644379, -73.899556)"
1496281433.0,"(40.644379, -73.899556)"
1496282019.0,"(40.63706, -73.910881)"
1496282019.0,"(40.63706, -73.910881)"
1496282617.0,"(40.633542, -73.937146)"
1496282617.0,"(40.633542, -73.937146)"
1496283225.0,"(40.625305, -73.960259)"
1496283225.0,"(40.625305, -73.960259)"
1496283809.0,"(40.59742, -73.998515)"
1496283809.0,"(40.59742, -73.998515)"
1496284441.0,"(40.593481, -73.994042)"
1496285020.0,"(40.622473, -73.97385)"
1496285020.0,"(40.622473, -73.97385)"
1496285643.0,"(40.633638, -73.951018)"
1496285643.0,"(40.633638, -73.951018)"
1496286208.0,"(40.632994, -73.925987)"
1496286208.0,"(40.632994, -73.925987)"
1496286807.0,"(40.644233, -73.902679)"
1496286807.0,"(40.644233, -73.902679)"
1496287390.0,"(40.664491, -73.881062)"
1496287390.0,"(40.664491, -73.881062)"
1496288015.0,"(40.654253, -73.887057)"
1496288015.0,"(40.654253, -73.887057)"
1496288641.0,"(40.64327, -73.901273)"
1496288641.0,"(40.64327, -73.901273)"
1496289216.0,"(40.634375, -73.918841)"
1496289216.0,"(40.634375, -73.918841)"
1496289848.0,"(40.634014, -73.947501)"
1496289848.0,"(40.634014, -73.947501)"
1496290439.0,"(40.625302, -73.960287)"
1496290439.0,"(40.625302, -73.960287)"
1496291004.0,"(40.602231, -73.993518)"
1496291004.0,"(40.602231, -73.993518)"
1496291648.0,"(40.592833, -73.993413)"
1496291648.0,"(40.592833, -73.993413)"
1496292231.0,"(40.592833, -73.993413)"
1496292231.0,"(40.592833, -73.993413)"
1496292820.0,"(40.592833, -73.993413)"
1496292820.0,"(40.592833, -73.993413)"
1496293404.0,"(40.592833, -73.993413)"
1496293404.0,"(40.592833, -73.993413)"
1496294024.0,"(40.592833, -73.993413)"
1496294024.0,"(40.592833, -73.993413)"
1496294619.0,"(40.592833, -73.993413)"
1496294619.0,"(40.592833, -73.993413)"
1496296377.0,"(40.60544, -73.990175)"
1496296377.0,"(40.60544, -73.990175)"
1496297013.0,"(40.624742, -73.965369)"
1496297013.0,"(40.624742, -73.965369)"
1496297618.0,"(40.633982, -73.948014)"
1496297618.0,"(40.633982, -73.948014)"
1496298241.0,"(40.633332, -73.920636)"
1496298241.0,"(40.633332, -73.920636)"
1496298831.0,"(40.648228, -73.897586)"
1496299460.0,"(40.661848, -73.880185)"
1496301188.0,"(40.633582, -73.920243)"
1496301856.0,"(40.634035, -73.94717)"
1496302446.0,"(40.625301, -73.960291)"
1496303044.0,"(40.619266, -73.976412)"
1496303581.0,"(40.608157, -73.98735)"
1496304244.0,"(40.59039, -73.991543)"
1496305409.0,"(40.597074, -73.998461)"
1496306042.0,"(40.610795, -73.984599)"
1496306643.0,"(40.624633, -73.966375)"
1496307243.0,"(40.626128, -73.952775)"
1496307873.0,"(40.634347, -73.949709)"
1496308421.0,"(40.632661, -73.937051)"
1496309049.0,"(40.633703, -73.916069)"
1496309645.0,"(40.649212, -73.896054)"
1496310242.0,"(40.658546, -73.877736)"
1496310835.0,"(40.666352, -73.883369)"
1496311400.0,"(40.663315, -73.881237)"
1496312066.0,"(40.649217, -73.896046)"
1496312679.0,"(40.644465, -73.901567)"
1496313244.0,"(40.633913, -73.919736)"
1496313802.0,"(40.63399, -73.94789)"
1496314471.0,"(40.624255, -73.969803)"
1496315082.0,"(40.610681, -73.984718)"
1496315684.0,"(40.594302, -73.997825)"
